39Y2M	4C3N		accepted	species	Enterococcus quebecensis	Sistek et al., 2012	Bacillati	Bacillota	Bacilli	Lactobacillales		Enterococcaceae				Enterococcus		Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus		bacteria
CKJQC	3YX4Z		accepted	subspecies	Megarhyssa nortoni quebecensis	(Provancher, 1873)	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Megarhyssa		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Megarhyssa;Megarhyssa nortoni		hymenoptera
423WW	5PSY		accepted	species	Mesoleius chicoutimiensis	Provancher, 1888	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Mesoleius		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Mesoleius		hymenoptera
559FK	7TMV		accepted	species	Temelucha quebecensis	Dasch, 1979	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonoidea	Ichneumonidae				Temelucha		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Hymenoptera;Apocrita;Terebrantes;Ichneumonoidea;Ichneumonidae;Temelucha		hymenoptera
3DFQP	943HD		accepted	species	Euxoa (Pleonectopoda) chimoensis	Hardwick, 1966	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Noctuinae			Euxoa	Euxoa (Pleonectopoda)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Noctuoidea;Noctuidae;Noctuinae;Euxoa;Euxoa (Pleonectopoda)		lepidoptera
FLLX4	3DFQP		accepted	unranked	BOLD:ACF3481		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Noctuinae			Euxoa	Euxoa (Pleonectopoda)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Noctuoidea;Noctuidae;Noctuinae;Euxoa;Euxoa (Pleonectopoda);Euxoa (Pleonectopoda) chimoensis		lepidoptera
3DFR5	943HD		accepted	species	Euxoa (Pleonectopoda) quebecensis	Smith, 1900	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Noctuinae			Euxoa	Euxoa (Pleonectopoda)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Noctuoidea;Noctuidae;Noctuinae;Euxoa;Euxoa (Pleonectopoda)		lepidoptera
FLLTT	3DFR5		accepted	unranked	BOLD:ACF0815		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Noctuinae			Euxoa	Euxoa (Pleonectopoda)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Noctuoidea;Noctuidae;Noctuinae;Euxoa;Euxoa (Pleonectopoda);Euxoa (Pleonectopoda) quebecensis		lepidoptera
3PLDN	9CL2Z		accepted	species	Incisalia lanoraieensis	Sheppard, 1934	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Lycaeninae			Incisalia		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Papilionoidea;Lycaenidae;Lycaeninae;Incisalia		lepidoptera
FLC9H	3PLDN		accepted	unranked	BOLD:AEZ4970		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Lycaeninae			Incisalia		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Papilionoidea;Lycaenidae;Lycaeninae;Incisalia;Incisalia lanoraieensis		lepidoptera
5JYTR	6SJRD		accepted	subspecies	Oeneis bore gaspeensis	Dos Passos, 1949	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Satyrinae	Satyrini		Oeneis		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Papilionoidea;Nymphalidae;Satyrinae;Satyrini;Oeneis;Oeneis bore		lepidoptera
